Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2021-05-30 03:08:48,LPTBNB,BUY,0.07374,5.8,0.42769200,0.00032233,BNB
2021-05-30 00:58:13,MASKBNB,BUY,0.02299,6.1,0.14023900,0.00010472,BNB
2021-05-30 00:58:13,MASKBNB,BUY,0.02299,15,0.34485000,0.00025751,BNB
2021-05-30 00:57:18,MASKBNB,BUY,0.02299,15,0.34485000,0.00025751,BNB
2021-05-30 00:57:16,MASKBNB,BUY,0.02299,15,0.34485000,0.00025751,BNB
2021-05-30 00:57:08,MASKBNB,BUY,0.02299,15,0.34485000,0.000258,BNB
2021-05-30 00:57:08,MASKBNB,BUY,0.02299,5.44,0.12506560,0.00009356,BNB
2021-05-30 00:57:08,MASKBNB,BUY,0.02299,9.56,0.21978440,0.00016443,BNB
2021-05-30 00:57:08,MASKBNB,BUY,0.02299,15,0.34485000,0.000258,BNB
2021-05-30 00:56:46,MASKBNB,BUY,0.02299,6,0.13794000,0.0001032,BNB
2021-05-30 00:56:46,MASKBNB,BUY,0.02299,7.4,0.17012600,0.00012727,BNB
2021-05-30 00:56:46,MASKBNB,BUY,0.02299,11.81,0.27151190,0.00020313,BNB
2021-05-30 00:34:58,MASKBNB,BUY,0.02299,4.79,0.11012210,0.00008247,BNB
2021-05-29 03:47:39,XMRETH,BUY,0.11473,0.086,0.00986678,0.00005439,BNB
2021-05-27 02:36:10,XMRETH,BUY,0.09235,0.057,0.00526395,0.00003067,BNB
2021-05-26 11:50:13,XMRETH,BUY,0.09175,0.111,0.01018425,0.00005748,BNB
2021-05-26 09:26:08,1INCHBUSD,BUY,3.3329,67.07,223.53760300,0.06707,1INCH
2021-05-25 07:26:22,IOSTBUSD,SELL,0.0338,2382.6,80.53188000,0.08053188,BUSD
2021-05-24 13:12:10,XMRETH,BUY,0.10123,0.105,0.01062915,0.000105,XMR
2021-05-22 13:45:11,XMRETH,BUY,0.1016,0.136,0.01381760,0.000136,XMR
2021-05-20 18:15:16,XMRETH,BUY,0.09478,0.32,0.03032960,0.00032,XMR
2021-05-20 18:04:07,IOSTETH,BUY,0.00001274,2385,0.03038490,2.385,IOST
